Timestamp,Distance (cm),time_diff (s),Speed (cm/s)
2024-07-12 10:00:19,71,0.099,0
2024-07-12 10:00:19,70,0.099,-10.101
2024-07-12 10:00:19,70,0.1,0
2024-07-12 10:00:19,70,0.1,0
2024-07-12 10:00:19,69,0.1,-10
2024-07-12 10:00:20,66,0.099,-30.303
2024-07-12 10:00:20,64,0.099,-20.202
2024-07-12 10:00:20,63,0.1,-10
2024-07-12 10:00:20,57,0.099,-40.404
2024-07-12 10:00:20,57,0.099,-40.404
2024-07-12 10:00:20,57,0.1,0
2024-07-12 10:00:20,50,0.099,-40.404
2024-07-12 10:00:20,48,0.1,-20
2024-07-12 10:00:20,44,0.1,-40
2024-07-12 10:00:20,42,0.099,-20.202
2024-07-12 10:00:21,37,0.1,-50
2024-07-12 10:00:21,36,0.1,-10
2024-07-12 10:00:21,34,0.1,-20
2024-07-12 10:00:21,30,0.1,-40
2024-07-12 10:00:21,29,0.099,-10.101
2024-07-12 10:00:21,27,0.1,-20
2024-07-12 10:00:21,27,0.099,0
2024-07-12 10:00:21,29,0.1,20
2024-07-12 10:00:21,33,0.1,40
2024-07-12 10:00:21,39,0.1,60
2024-07-12 10:00:22,45,0.099,60.6061
2024-07-12 10:00:22,51,0.101,59.4059
2024-07-12 10:00:22,58,0.099,70.7071
2024-07-12 10:00:22,64,0.099,60.6061
2024-07-12 10:00:22,69,0.1,50
2024-07-12 10:00:22,75,0.099,60.6061
2024-07-12 10:00:22,81,0.1,60
2024-07-12 10:00:22,87,0.1,60
2024-07-12 10:00:22,92,0.1,50
2024-07-12 10:00:23,98,0.1,60
2024-07-12 10:00:23,103,0.099,50.5051
2024-07-12 10:00:23,108,0.099,50.5051
2024-07-12 10:00:23,110,0.099,20.202
2024-07-12 10:00:23,114,0.1,40
2024-07-12 10:00:23,119,0.1,50
2024-07-12 10:00:23,119,0.099,0
2024-07-12 10:00:23,120,0.1,10
2024-07-12 10:00:23,116,0.1,-40
2024-07-12 10:00:23,113,0.1,-30
2024-07-12 10:00:24,107,0.099,-60.6061
2024-07-12 10:00:24,101,0.099,-60.6061
2024-07-12 10:00:24,96,0.1,-50
2024-07-12 10:00:24,90,0.1,-60
2024-07-12 10:00:24,86,0.099,-40.404
2024-07-12 10:00:24,82,0.1,-40
2024-07-12 10:00:24,76,0.099,-60.6061
2024-07-12 10:00:24,71,0.1,-50
2024-07-12 10:00:24,65,0.1,-60
2024-07-12 10:00:24,60,0.099,-50.5051
2024-07-12 10:00:25,54,0.101,-59.4059
2024-07-12 10:00:25,50,0.099,-40.404
2024-07-12 10:00:25,46,0.099,-40.404
2024-07-12 10:00:25,41,0.099,-50.5051
2024-07-12 10:00:25,37,0.1,-40
2024-07-12 10:00:25,35,0.099,-20.202
2024-07-12 10:00:25,32,0.1,-30
2024-07-12 10:00:25,35,0.1,30
2024-07-12 10:00:25,37,0.099,20.202
2024-07-12 10:00:25,41,0.1,40
2024-07-12 10:00:26,46,0.1,50
2024-07-12 10:00:26,52,0.1,60
2024-07-12 10:00:26,58,0.099,60.6061
2024-07-12 10:00:26,64,0.1,60
2024-07-12 10:00:26,70,0.099,60.6061
2024-07-12 10:00:26,76,0.1,60
2024-07-12 10:00:26,81,0.099,50.5051
2024-07-12 10:00:26,87,0.101,59.4059
2024-07-12 10:00:26,92,0.1,50
2024-07-12 10:00:26,98,0.099,60.6061
2024-07-12 10:00:27,102,0.099,40.404
2024-07-12 10:00:27,107,0.1,50
2024-07-12 10:00:27,111,0.1,40
2024-07-12 10:00:27,116,0.1,50
2024-07-12 10:00:27,118,0.1,20
2024-07-12 10:00:27,116,0.099,-20.202
2024-07-12 10:00:27,105,0.1,-110
2024-07-12 10:00:27,91,0.1,-140
2024-07-12 10:00:27,80,0.1,-110
2024-07-12 10:00:27,74,0.099,-60.6061
2024-07-12 10:00:28,77,0.099,30.303
2024-07-12 10:00:28,90,0.1,130
2024-07-12 10:00:28,106,0.1,160
2024-07-12 10:00:28,108,0.099,20.202
2024-07-12 10:00:28,96,0.1,-120
2024-07-12 10:00:28,81,0.099,-151.515
2024-07-12 10:00:28,69,0.099,-121.212
2024-07-12 10:00:28,58,0.1,-110
2024-07-12 10:00:28,48,0.099,-101.01
2024-07-12 10:00:28,43,0.1,-50
2024-07-12 10:00:29,39,0.1,-40
2024-07-12 10:00:29,40,0.1,10
2024-07-12 10:00:29,46,0.1,60
2024-07-12 10:00:29,53,0.099,70.7071
2024-07-12 10:00:29,63,0.1,100
2024-07-12 10:00:29,72,0.1,90
2024-07-12 10:00:29,80,0.099,80.8081
2024-07-12 10:00:29,87,0.099,70.7071
2024-07-12 10:00:29,94,0.099,70.7071
2024-07-12 10:00:29,97,0.099,30.303
2024-07-12 10:00:30,95,0.1,-20
2024-07-12 10:00:30,85,0.099,-101.01
2024-07-12 10:00:30,74,0.1,-110
2024-07-12 10:00:30,62,0.1,-120
2024-07-12 10:00:30,54,0.099,-80.8081
2024-07-12 10:00:30,46,0.1,-80
2024-07-12 10:00:30,40,0.099,-60.6061
2024-07-12 10:00:30,34,0.099,-60.6061
2024-07-12 10:00:30,30,0.1,-40
2024-07-12 10:00:30,28,0.1,-20
2024-07-12 10:00:31,26,0.1,-20
2024-07-12 10:00:31,24,0.1,-20
2024-07-12 10:00:31,25,0.099,10.101
2024-07-12 10:00:31,29,0.1,40
2024-07-12 10:00:31,31,0.099,20.202
2024-07-12 10:00:31,35,0.1,40
2024-07-12 10:00:31,40,0.099,50.5051
2024-07-12 10:00:31,46,0.099,60.6061
2024-07-12 10:00:31,52,0.1,60
2024-07-12 10:00:31,57,0.1,50
2024-07-12 10:00:32,62,0.1,50
2024-07-12 10:00:32,67,0.1,50
2024-07-12 10:00:32,72,0.099,50.5051
